Symptom 1,Symptom 2,Symptom 3,Disease,Ayurvedic Remedy
nausea,redness,chest pain,Asthma,"Giloy, Ashwagandha, Triphala"
persistent cough,chest tightness,wheezing,Asthma,"Licorice, Black Pepper, Honey"
body pain,abdominal pain,loss of smell,Asthma,"Turmeric, Black Pepper, Giloy"
fatigue,joint pain,vomiting blood,Asthma,"Neem, Fennel Seeds, Ajwain"
fatigue,muscle pain,breathlessness,Asthma,"Neem, Amla, Tulsi"
chest pain,shortness of breath,,Asthma,"Vasaka, Mulethi, Ginger"
fatigue,runny nose,weight loss,Asthma,"Neem, Amla, Tulsi"
cough,swelling,dehydration,Asthma,"Ashwagandha, Brahmi, Tulsi"
diarrhea,chills,dehydration,Bronchitis,"Tulsi, Ginger, Honey"
vomiting,congestion,breathlessness,Bronchitis,"Tulsi, Ginger, Honey"
diarrhea,muscle pain,dehydration,Bronchitis,"Basil, Black Pepper, Honey"
sneezing,abdominal pain,stiffness,Bronchitis,"Turmeric, Black Pepper, Giloy"
nausea,redness,loss of smell,Bronchitis,"Neem, Fennel Seeds, Ajwain"
body pain,chills,weight loss,Bronchitis,"Aloe Vera, Neem, Giloy"
diarrhea,congestion,blurred vision,Bronchitis,"Neem, Amla, Tulsi"
rash,loss of appetite,chest pain,Bronchitis,"Aloe Vera, Neem, Giloy"
headache,chills,itchy skin,Bronchitis,"Tulsi, Ginger, Honey"
dry cough,fatigue,low-grade fever,Bronchitis,"Tulsi, Mulethi, Honey"
fatigue,loss of appetite,stiffness,Bronchitis,"Ashwagandha, Brahmi, Tulsi"
vomiting,joint pain,blurred vision,Bronchitis,"Neem, Amla, Tulsi"
dry cough,throat irritation,,Bronchitis,"Honey, Licorice, Ginger"
diarrhea,chills,breathlessness,Bronchitis,"Turmeric, Black Pepper, Giloy"
vomiting,loss of appetite,dehydration,Bronchitis,"Ashwagandha, Brahmi, Tulsi"
sneezing,loss of appetite,dehydration,Bronchitis,"Triphala, Mulethi, Ginger"
fever,chills,vomiting blood,Bronchitis,"Neem, Amla, Tulsi"
body pain,muscle pain,vomiting blood,Bronchitis,"Ashwagandha, Brahmi, Tulsi"
diarrhea,joint pain,weight loss,Bronchitis,"Aloe Vera, Neem, Giloy"
nausea,joint pain,breathlessness,Bronchitis,"Giloy, Ashwagandha, Triphala"
rash,joint pain,chest pain,Bronchitis,"Basil, Black Pepper, Honey"
fatigue,muscle pain,loss of smell,Bronchitis,"Neem, Fennel Seeds, Ajwain"
cough,abdominal pain,itchy skin,Bronchitis,"Ashwagandha, Brahmi, Tulsi"
cough,joint pain,stiffness,Bronchitis,"Neem, Amla, Tulsi"
fever,loss of appetite,blurred vision,Bronchitis,"Neem, Fennel Seeds, Ajwain"
fever,dry cough,tiredness,COVID-19,"Tulsi, Giloy, Black Pepper"
stomach bloating,nausea,diarrhea,Celiac Disease,"Aloe Vera, Turmeric, Neem"
rash,swelling,fever,Chickenpox,"Neem, Turmeric, Sandalwood Paste"
fever,rash,joint pain,Chikungunya,"Giloy, Neem, Papaya leaf extract"
chronic fatigue,sensitivity to light,,Chronic Fatigue Syndrome,"Ashwagandha, Brahmi, Shatavari"
cough,sore throat,fatigue,Common Cold,"Tulsi, Ginger, Honey"
swollen feet,fatigue,difficulty breathing,Congestive Heart Failure,"Arjuna, Garlic, Ashwagandha"
difficulty breathing,swollen feet,fatigue,Congestive Heart Failure,"Arjuna, Punarnava, Guggulu"
red eyes,tearing,itching,Conjunctivitis,"Rosewater, Triphala, Neem"
unexplained weight gain,fatigue,hair loss,Cushing's Syndrome,"Ashwagandha, Licorice, Amla"
itchy scalp,dandruff,hair loss,Dandruff,"Neem, Fenugreek seeds, Coconut oil"
excessive thirst,blurred vision,dry mouth,Dehydration,"Coconut Water, Cucumber, Mint"
fever,headache,muscle pain,Dengue,"Giloy, Papaya leaf extract"
increased thirst,frequent urination,fatigue,Diabetes,"Bitter gourd, Fenugreek seeds, Amla"
weight loss,increased hunger,frequent urination,Diabetes,"Jamun, Fenugreek, Neem"
frequent infections,slow healing of cuts,,Diabetes,"Fenugreek, Amla, Bitter Gourd"
extreme thirst,frequent urination,fatigue,Diabetes Insipidus,"Ashwagandha, Gokshura, Shatavari"
dry eyes,blurred vision,eye strain,Dry Eye Syndrome,"Triphala, Aloe Vera, Cucumber"
itchy skin,rash,redness,Eczema,"Neem, Aloe Vera, Coconut oil"
dry skin,itching,redness,Eczema,"Aloe Vera, Neem, Coconut Oil"
muscle cramps,weakness,irritability,Electrolyte Imbalance,"Coconut water, Banana, Rock salt"
pelvic pain,irregular menstruation,acne,Endometriosis,"Shatavari, Ashoka, Turmeric"
vomiting,runny nose,itchy skin,Food Poisoning,"Turmeric, Black Pepper, Giloy"
headache,redness,itchy skin,Food Poisoning,"Neem, Fennel Seeds, Ajwain"
cough,abdominal pain,breathlessness,Food Poisoning,"Peppermint Oil, Mulethi, Tulsi"
cough,sore throat,vomiting blood,Food Poisoning,"Triphala, Mulethi, Ginger"
body pain,abdominal pain,stiffness,Food Poisoning,"Triphala, Mulethi, Ginger"
headache,abdominal pain,breathlessness,Food Poisoning,"Neem, Amla, Tulsi"
headache,chills,breathlessness,Food Poisoning,"Triphala, Mulethi, Ginger"
body pain,loss of appetite,weight loss,Food Poisoning,"Aloe Vera, Neem, Giloy"
vomiting,muscle pain,blurred vision,Food Poisoning,"Peppermint Oil, Mulethi, Tulsi"
fever,abdominal pain,vomiting blood,Food Poisoning,"Neem, Amla, Tulsi"
fever,swelling,breathlessness,Food Poisoning,"Tulsi, Ginger, Honey"
diarrhea,abdominal pain,chest pain,Food Poisoning,"Giloy, Ashwagandha, Triphala"
diarrhea,runny nose,dizziness,Food Poisoning,"Peppermint Oil, Mulethi, Tulsi"
nausea,joint pain,breathlessness,Food Poisoning,"Ashwagandha, Brahmi, Tulsi"
body pain,abdominal pain,dizziness,Food Poisoning,"Triphala, Mulethi, Ginger"
headache,congestion,stiffness,Food Poisoning,"Giloy, Ashwagandha, Triphala"
diarrhea,sore throat,breathlessness,Food Poisoning,"Peppermint Oil, Mulethi, Tulsi"
nausea,muscle pain,chest pain,Food Poisoning,"Aloe Vera, Neem, Giloy"
fever,joint pain,dehydration,Food Poisoning,"Giloy, Ashwagandha, Triphala"
rash,loss of appetite,dizziness,Food Poisoning,"Peppermint Oil, Mulethi, Tulsi"
headache,muscle pain,blurred vision,Food Poisoning,"Giloy, Ashwagandha, Triphala"
headache,redness,breathlessness,Food Poisoning,"Giloy, Ashwagandha, Triphala"
body pain,muscle pain,weight loss,Food Poisoning,"Neem, Amla, Tulsi"
diarrhea,sore throat,breathlessness,Food Poisoning,"Basil, Black Pepper, Honey"
body pain,redness,vomiting blood,Food Poisoning,"Neem, Amla, Tulsi"
body pain,runny nose,chest pain,Food Poisoning,"Triphala, Mulethi, Ginger"
nausea,vomiting,diarrhea,Food Poisoning,"Ginger, Mint, Lemon Water"
nausea,vomiting,diarrhea,Food Poisoning,"Ginger, Mint, Lemon"
nausea,sore throat,blurred vision,Gastritis,"Peppermint Oil, Mulethi, Tulsi"
headache,muscle pain,blurred vision,Gastritis,"Neem, Amla, Tulsi"
fever,congestion,chest pain,Gastritis,"Ashwagandha, Brahmi, Tulsi"
body pain,sore throat,loss of smell,Gastritis,"Tulsi, Ginger, Honey"
body pain,swelling,vomiting blood,Gastritis,"Giloy, Ashwagandha, Triphala"
fatigue,redness,dehydration,Gastritis,"Aloe Vera, Neem, Giloy"
cough,muscle pain,weight loss,Gastritis,"Tulsi, Ginger, Honey"
cough,muscle pain,dehydration,Gastritis,"Neem, Fennel Seeds, Ajwain"
nausea,heartburn,loss of appetite,Gastritis,"Ginger, Fennel, Licorice"
nausea,loss of appetite,dizziness,Gastritis,"Giloy, Ashwagandha, Triphala"
vomiting,redness,vomiting blood,Gastritis,"Aloe Vera, Neem, Giloy"
diarrhea,sore throat,loss of smell,Gastritis,"Ashwagandha, Brahmi, Tulsi"
sneezing,loss of appetite,vomiting blood,Gastritis,"Triphala, Mulethi, Ginger"
fatigue,chills,chest pain,Gastritis,"Neem, Amla, Tulsi"
cough,congestion,itchy skin,Gastritis,"Giloy, Ashwagandha, Triphala"
cough,muscle pain,weight loss,Gastritis,"Triphala, Mulethi, Ginger"
rash,chills,itchy skin,Gastritis,"Basil, Black Pepper, Honey"
cough,chills,stiffness,Gastritis,"Ashwagandha, Brahmi, Tulsi"
nausea,loss of appetite,itchy skin,Gastritis,"Tulsi, Ginger, Honey"
diarrhea,abdominal pain,weight loss,Gastritis,"Ashwagandha, Brahmi, Tulsi"
vomiting,sore throat,vomiting blood,Gastritis,"Giloy, Ashwagandha, Triphala"
vomiting,nausea,abdominal cramps,Gastroenteritis,"Ginger, Mint, Coriander"
swollen gums,bleeding gums,pain while chewing,Gingivitis,"Neem, Clove oil, Triphala"
bleeding gums,bad breath,receding gums,Gingivitis,"Neem, Triphala, Clove Oil"
blurred vision,eye pain,redness,Glaucoma,"Triphala, Neem, Turmeric"
persistent fatigue,chronic diarrhea,night sweats,HIV/AIDS,"Amla, Neem, Turmeric"
constant sneezing,runny nose,itchy eyes,Hay Fever,"Tulsi, Mulethi, Peppermint"
chest pain,nausea,shortness of breath,Heart Attack,"Arjuna, Garlic, Turmeric"
loss of appetite,weakness,yellowing skin,Hepatitis,"Kutki, Amla, Punarnava"
fever,yellowing of skin,abdominal pain,Hepatitis,"Kutki, Kalmegh, Bhringraj"
skin rash,itching,hives,Hives,"Aloe Vera, Neem, Turmeric"
headache,chills,dehydration,Hypertension,"Turmeric, Black Pepper, Giloy"
body pain,redness,loss of smell,Hypertension,"Peppermint Oil, Mulethi, Tulsi"
rash,abdominal pain,weight loss,Hypertension,"Turmeric, Black Pepper, Giloy"
sneezing,joint pain,vomiting blood,Hypertension,"Ashwagandha, Brahmi, Tulsi"
nausea,redness,itchy skin,Hypertension,"Turmeric, Black Pepper, Giloy"
cough,chills,dehydration,Hypertension,"Aloe Vera, Neem, Giloy"
fever,chills,dehydration,Hypertension,"Triphala, Mulethi, Ginger"
diarrhea,swelling,itchy skin,Hypertension,"Neem, Fennel Seeds, Ajwain"
vomiting,abdominal pain,breathlessness,Hypertension,"Neem, Fennel Seeds, Ajwain"
vomiting,chills,breathlessness,Hypertension,"Aloe Vera, Neem, Giloy"
fever,chills,dehydration,Hypertension,"Basil, Black Pepper, Honey"
vomiting,sore throat,breathlessness,Hypertension,"Peppermint Oil, Mulethi, Tulsi"
sneezing,redness,loss of smell,Hypertension,"Ashwagandha, Brahmi, Tulsi"
fatigue,chills,loss of smell,Hypertension,"Neem, Fennel Seeds, Ajwain"
rash,swelling,dehydration,Hypertension,"Basil, Black Pepper, Honey"
body pain,abdominal pain,itchy skin,Hypertension,"Triphala, Mulethi, Ginger"
fatigue,joint pain,itchy skin,Hypertension,"Ashwagandha, Brahmi, Tulsi"
headache,muscle pain,chest pain,Hypertension,"Peppermint Oil, Mulethi, Tulsi"
tiredness,weak muscles,cold intolerance,Hypothyroidism,"Kanchanar Guggulu, Ashwagandha, Triphala"
weight gain,lethargy,cold intolerance,Hypothyroidism,"Ashwagandha, Guggul, Licorice"
dry skin,hair thinning,weight gain,Hypothyroidism,"Ashwagandha, Guggul, Licorice"
cough,sore throat,stiffness,Influenza,"Neem, Amla, Tulsi"
diarrhea,redness,blurred vision,Influenza,"Giloy, Ashwagandha, Triphala"
vomiting,muscle pain,loss of smell,Influenza,"Giloy, Ashwagandha, Triphala"
body pain,congestion,breathlessness,Influenza,"Basil, Black Pepper, Honey"
fever,chills,chest pain,Influenza,"Basil, Black Pepper, Honey"
cough,runny nose,weight loss,Influenza,"Turmeric, Black Pepper, Giloy"
vomiting,swelling,vomiting blood,Influenza,"Neem, Fennel Seeds, Ajwain"
sneezing,runny nose,blurred vision,Influenza,"Neem, Amla, Tulsi"
fever,joint pain,itchy skin,Influenza,"Peppermint Oil, Mulethi, Tulsi"
fever,chills,itchy skin,Influenza,"Basil, Black Pepper, Honey"
fatigue,redness,dizziness,Influenza,"Neem, Fennel Seeds, Ajwain"
sneezing,redness,vomiting blood,Influenza,"Triphala, Mulethi, Ginger"
fever,chills,loss of smell,Influenza,"Aloe Vera, Neem, Giloy"
diarrhea,abdominal pain,loss of smell,Influenza,"Giloy, Ashwagandha, Triphala"
fatigue,chills,loss of smell,Influenza,"Tulsi, Ginger, Honey"
headache,runny nose,dehydration,Influenza,"Tulsi, Ginger, Honey"
vomiting,chills,dizziness,Influenza,"Aloe Vera, Neem, Giloy"
irritability,insomnia,headache,Insomnia,"Brahmi, Jatamansi, Lavender Oil"
hair thinning,brittle nails,pale skin,Iron Deficiency Anemia,"Beetroot, Spinach, Amla"
constipation,bloating,abdominal pain,Irritable Bowel Syndrome,"Triphala, Fennel, Peppermint"
severe bloating,constipation,abdominal pain,Irritable Bowel Syndrome,"Aloe Vera, Triphala, Ajwain"
sudden weight gain,fluid retention,high blood pressure,Kidney Disease,"Punarnava, Gokshura, Varun"
sharp pain in side,difficulty urinating,nausea,Kidney Stones,"Pashanbheda, Gokshura, Varun"
sudden weight loss,fatigue,bleeding,Leukemia,"Giloy, Amla, Tulsi"
joint pain,red swollen skin,fatigue,Lupus,"Giloy, Ashwagandha, Turmeric"
unexplained fatigue,muscle weakness,joint pain,Lupus,"Ashwagandha, Shatavari, Licorice"
fever,night sweats,swollen lymph nodes,Lymphoma,"Tulsi, Ashwagandha, Turmeric"
rash,runny nose,stiffness,Malaria,"Basil, Black Pepper, Honey"
sneezing,joint pain,stiffness,Malaria,"Tulsi, Ginger, Honey"
vomiting,abdominal pain,breathlessness,Malaria,"Turmeric, Black Pepper, Giloy"
nausea,sore throat,stiffness,Malaria,"Aloe Vera, Neem, Giloy"
fatigue,swelling,chest pain,Malaria,"Neem, Amla, Tulsi"
rash,muscle pain,weight loss,Malaria,"Giloy, Ashwagandha, Triphala"
vomiting,loss of appetite,loss of smell,Malaria,"Triphala, Mulethi, Ginger"
diarrhea,swelling,itchy skin,Malaria,"Basil, Black Pepper, Honey"
vomiting,chills,itchy skin,Malaria,"Basil, Black Pepper, Honey"
nausea,redness,breathlessness,Malaria,"Ashwagandha, Brahmi, Tulsi"
rash,loss of appetite,breathlessness,Malaria,"Tulsi, Ginger, Honey"
fever,loss of appetite,dizziness,Malaria,"Neem, Amla, Tulsi"
high fever,severe headache,nausea,Malaria,"Tulsi, Neem, Kalmegh"
rash,redness,blurred vision,Malaria,"Basil, Black Pepper, Honey"
sneezing,swelling,itchy skin,Malaria,"Peppermint Oil, Mulethi, Tulsi"
nausea,congestion,dizziness,Malaria,"Neem, Fennel Seeds, Ajwain"
cough,chills,breathlessness,Malaria,"Neem, Fennel Seeds, Ajwain"
cough,redness,itchy skin,Malaria,"Aloe Vera, Neem, Giloy"
fatigue,sore throat,chest pain,Malaria,"Neem, Fennel Seeds, Ajwain"
fever,runny nose,stiffness,Malaria,"Tulsi, Ginger, Honey"
stiff neck,headache,sensitivity to light,Meningitis,"Tulsi, Brahmi, Guggul"
fatigue,muscle pain,dizziness,Migraine,"Neem, Amla, Tulsi"
vomiting,sore throat,loss of smell,Migraine,"Basil, Black Pepper, Honey"
frequent headaches,light sensitivity,nausea,Migraine,"Peppermint Oil, Ginger, Ashwagandha"
body pain,joint pain,itchy skin,Migraine,"Peppermint Oil, Mulethi, Tulsi"
fever,muscle pain,chest pain,Migraine,"Neem, Fennel Seeds, Ajwain"
rash,abdominal pain,loss of smell,Migraine,"Triphala, Mulethi, Ginger"
nausea,sore throat,loss of smell,Migraine,"Tulsi, Ginger, Honey"
rash,chills,loss of smell,Migraine,"Ashwagandha, Brahmi, Tulsi"
sneezing,abdominal pain,dehydration,Migraine,"Triphala, Mulethi, Ginger"
cough,loss of appetite,stiffness,Migraine,"Triphala, Mulethi, Ginger"
headache,redness,vomiting blood,Migraine,"Basil, Black Pepper, Honey"
fever,runny nose,vomiting blood,Migraine,"Ashwagandha, Brahmi, Tulsi"
body pain,chills,itchy skin,Migraine,"Turmeric, Black Pepper, Giloy"
rash,loss of appetite,vomiting blood,Migraine,"Neem, Fennel Seeds, Ajwain"
body pain,runny nose,itchy skin,Migraine,"Neem, Amla, Tulsi"
nausea,sore throat,loss of smell,Migraine,"Basil, Black Pepper, Honey"
fatigue,sore throat,stiffness,Migraine,"Ashwagandha, Brahmi, Tulsi"
rash,runny nose,vomiting blood,Migraine,"Aloe Vera, Neem, Giloy"
fever,sore throat,dizziness,Migraine,"Aloe Vera, Neem, Giloy"
sneezing,muscle pain,dizziness,Migraine,"Aloe Vera, Neem, Giloy"
cough,loss of appetite,itchy skin,Migraine,"Neem, Fennel Seeds, Ajwain"
headache,sensitivity to light,,Migraine,"Brahmi, Shankhpushpi, Ginger"
nausea,loss of appetite,dizziness,Migraine,"Ashwagandha, Brahmi, Tulsi"
muscle weakness,frequent falls,fatigue,Muscular Dystrophy,"Ashwagandha, Moringa, Guggul"
pain in lower abdomen,irregular menstruation,,PCOS,"Shatavari, Cinnamon, Fenugreek"
sneezing,joint pain,breathlessness,Pneumonia,"Ashwagandha, Brahmi, Tulsi"
nausea,abdominal pain,dehydration,Pneumonia,"Triphala, Mulethi, Ginger"
rash,loss of appetite,loss of smell,Pneumonia,"Basil, Black Pepper, Honey"
nausea,muscle pain,loss of smell,Pneumonia,"Aloe Vera, Neem, Giloy"
diarrhea,loss of appetite,breathlessness,Pneumonia,"Peppermint Oil, Mulethi, Tulsi"
headache,chills,blurred vision,Pneumonia,"Giloy, Ashwagandha, Triphala"
sneezing,chills,vomiting blood,Pneumonia,"Basil, Black Pepper, Honey"
nausea,redness,loss of smell,Pneumonia,"Basil, Black Pepper, Honey"
diarrhea,muscle pain,vomiting blood,Pneumonia,"Giloy, Ashwagandha, Triphala"
sneezing,congestion,weight loss,Pneumonia,"Triphala, Mulethi, Ginger"
body pain,chills,dehydration,Pneumonia,"Neem, Amla, Tulsi"
cough,joint pain,vomiting blood,Pneumonia,"Neem, Fennel Seeds, Ajwain"
rash,sore throat,dehydration,Pneumonia,"Neem, Fennel Seeds, Ajwain"
headache,abdominal pain,blurred vision,Pneumonia,"Triphala, Mulethi, Ginger"
diarrhea,sore throat,dehydration,Pneumonia,"Neem, Amla, Tulsi"
nausea,muscle pain,chest pain,Pneumonia,"Giloy, Ashwagandha, Triphala"
cough,congestion,loss of smell,Pneumonia,"Neem, Amla, Tulsi"
fatigue,chills,vomiting blood,Pneumonia,"Giloy, Ashwagandha, Triphala"
persistent itching,red skin,rash,Psoriasis,"Neem, Turmeric, Aloe Vera"
heaviness in chest,swollen legs,difficulty breathing,Pulmonary Edema,"Punarnava, Guggulu, Arjuna"
sharp chest pain,fatigue,dry cough,Pulmonary Embolism,"Guggul, Turmeric, Ashwagandha"
painful urination,fever,chills,Pyelonephritis,"Triphala, Manjistha, Gokshura"
joint pain,stiffness,swollen fingers,Rheumatoid Arthritis,"Shallaki, Guggulu, Ashwagandha"
swollen joints,fatigue,rash,Rheumatoid Arthritis,"Ashwagandha, Guggul, Giloy"
back pain,muscle spasms,stiffness,Sciatica,"Ashwagandha, Nirgundi, Dashmool"
pain in back,muscle weakness,numbness,Sciatica,"Ashwagandha, Garlic, Nirgundi"
burning pain,blisters,sensitivity to touch,Shingles,"Neem, Aloe Vera, Turmeric"
insomnia,anxiety,restlessness,Stress,"Brahmi, Ashwagandha, Jatamansi"
severe headache,nausea,blurred vision,Stroke,"Brahmi, Ashwagandha, Ginkgo Biloba"
constant ear ringing,dizziness,hearing loss,Tinnitus,"Ginkgo Biloba, Ashwagandha, Brahmi"
night sweats,fatigue,unexplained weight loss,Tuberculosis,"Tulsi, Black Pepper, Pippali"
persistent cough,chest pain,weight loss,Tuberculosis,"Vasaka, Neem, Tulsi"
weight loss,excessive hunger,frequent urination,Type 1 Diabetes,"Bitter gourd, Fenugreek seeds, Amla"
excessive thirst,blurred vision,fatigue,Type 2 Diabetes,"Amla, Bitter melon, Fenugreek"
nausea,abdominal pain,dehydration,Typhoid,"Neem, Amla, Tulsi"
sneezing,runny nose,weight loss,Typhoid,"Peppermint Oil, Mulethi, Tulsi"
cough,loss of appetite,loss of smell,Typhoid,"Ashwagandha, Brahmi, Tulsi"
cough,joint pain,chest pain,Typhoid,"Giloy, Ashwagandha, Triphala"
nausea,abdominal pain,weight loss,Typhoid,"Neem, Amla, Tulsi"
body pain,abdominal pain,chest pain,Typhoid,"Tulsi, Ginger, Honey"
cough,sore throat,stiffness,Typhoid,"Neem, Amla, Tulsi"
diarrhea,runny nose,chest pain,Typhoid,"Triphala, Mulethi, Ginger"
sneezing,joint pain,chest pain,Typhoid,"Neem, Amla, Tulsi"
vomiting,abdominal pain,weight loss,Typhoid,"Basil, Black Pepper, Honey"
body pain,swelling,itchy skin,Typhoid,"Aloe Vera, Neem, Giloy"
body pain,abdominal pain,chest pain,Typhoid,"Neem, Fennel Seeds, Ajwain"
fever,chills,breathlessness,Typhoid,"Tulsi, Ginger, Honey"
rash,runny nose,loss of smell,Typhoid,"Neem, Amla, Tulsi"
rash,redness,loss of smell,Typhoid,"Basil, Black Pepper, Honey"
body pain,loss of appetite,itchy skin,Typhoid,"Basil, Black Pepper, Honey"
sneezing,chills,blurred vision,Typhoid,"Giloy, Ashwagandha, Triphala"
fever,muscle pain,loss of smell,Typhoid,"Neem, Amla, Tulsi"
vomiting,muscle pain,blurred vision,Typhoid,"Triphala, Mulethi, Ginger"
burning sensation,frequent urination,pelvic pain,Urinary Tract Infection,"Cranberry, Coriander Seeds, Amla"
burning sensation during urination,,,Urinary Tract Infection,"Coriander seeds, Barley Water, Cranberry"
dizziness,lightheadedness,nausea,Vertigo,"Ginger, Lemon Balm, Ginkgo Biloba"
