Symptom 1,Symptom 2,Symptom 3,Disease,Ayurvedic Remedy
sudden weight loss,fatigue,bleeding,Leukemia,"Giloy, Amla, Tulsi"
chronic fatigue,sensitivity to light,,Chronic Fatigue Syndrome,"Ashwagandha, Brahmi, Shatavari"
nausea,heartburn,loss of appetite,Gastritis,"Ginger, Fennel, Licorice"
muscle weakness,frequent falls,fatigue,Muscular Dystrophy,"Ashwagandha, Moringa, Guggul"
blurred vision,eye pain,redness,Glaucoma,"Triphala, Neem, Turmeric"
fever,rash,joint pain,Chikungunya,"Giloy, Neem, Papaya leaf extract"
stiff neck,headache,sensitivity to light,Meningitis,"Tulsi, Brahmi, Guggul"
irritability,confusion,aggression,Alzheimer's Disease,"Brahmi, Shankhpushpi, Ashwagandha"
swollen joints,fatigue,rash,Rheumatoid Arthritis,"Ashwagandha, Guggul, Giloy"
persistent itching,red skin,rash,Psoriasis,"Neem, Turmeric, Aloe Vera"
severe abdominal pain,fever,chills,Appendicitis,"Ginger, Tulsi, Peppermint"
constant ear ringing,dizziness,hearing loss,Tinnitus,"Ginkgo Biloba, Ashwagandha, Brahmi"
constant sneezing,runny nose,itchy eyes,Hay Fever,"Tulsi, Mulethi, Peppermint"
red eyes,tearing,itching,Conjunctivitis,"Rosewater, Triphala, Neem"
severe bloating,constipation,abdominal pain,Irritable Bowel Syndrome,"Aloe Vera, Triphala, Ajwain"
swollen feet,fatigue,difficulty breathing,Congestive Heart Failure,"Arjuna, Garlic, Ashwagandha"
pelvic pain,irregular menstruation,acne,Endometriosis,"Shatavari, Ashoka, Turmeric"
sharp chest pain,fatigue,dry cough,Pulmonary Embolism,"Guggul, Turmeric, Ashwagandha"
painful urination,fever,chills,Pyelonephritis,"Triphala, Manjistha, Gokshura"
unexplained weight gain,fatigue,hair loss,Cushing's Syndrome,"Ashwagandha, Licorice, Amla"
muscle twitching,difficulty speaking,,ALS,"Ashwagandha, Brahmi, Shankhpushpi"
extreme thirst,frequent urination,fatigue,Diabetes Insipidus,"Ashwagandha, Gokshura, Shatavari"
stomach bloating,nausea,diarrhea,Celiac Disease,"Aloe Vera, Turmeric, Neem"
persistent fatigue,chronic diarrhea,night sweats,HIV/AIDS,"Amla, Neem, Turmeric"
shortness of breath,chest pain,dizziness,Angina,"Arjuna, Garlic, Cinnamon"
weight loss,increased hunger,frequent urination,Diabetes,"Jamun, Fenugreek, Neem"
nausea,vomiting,diarrhea,Food Poisoning,"Ginger, Mint, Lemon"
back pain,muscle spasms,stiffness,Sciatica,"Ashwagandha, Nirgundi, Dashmool"
night sweats,fatigue,unexplained weight loss,Tuberculosis,"Tulsi, Black Pepper, Pippali"
dry skin,itching,redness,Eczema,"Aloe Vera, Neem, Coconut Oil"
excessive thirst,blurred vision,dry mouth,Dehydration,"Coconut Water, Cucumber, Mint"
weakness,pale skin,shortness of breath,Anemia,"Beetroot, Spinach, Amla"
heartburn,bitter taste,nausea,Acid Reflux,"Licorice, Fennel Seeds, Ginger"
tiredness,weak muscles,cold intolerance,Hypothyroidism,"Kanchanar Guggulu, Ashwagandha, Triphala"
burning sensation,frequent urination,pelvic pain,Urinary Tract Infection,"Cranberry, Coriander Seeds, Amla"
rash,swelling,fever,Chickenpox,"Neem, Turmeric, Sandalwood Paste"
persistent cough,chest tightness,wheezing,Asthma,"Licorice, Black Pepper, Honey"
loss of memory,confusion,difficulty concentrating,Alzheimer's,"Brahmi, Shankhpushpi, Ashwagandha"
difficulty breathing,swollen feet,fatigue,Congestive Heart Failure,"Arjuna, Punarnava, Guggulu"
high fever,severe headache,nausea,Malaria,"Tulsi, Neem, Kalmegh"
joint pain,stiffness,swollen fingers,Rheumatoid Arthritis,"Shallaki, Guggulu, Ashwagandha"
dry eyes,blurred vision,eye strain,Dry Eye Syndrome,"Triphala, Aloe Vera, Cucumber"
irritability,insomnia,headache,Insomnia,"Brahmi, Jatamansi, Lavender Oil"
loss of appetite,weakness,yellowing skin,Hepatitis,"Kutki, Amla, Punarnava"
skin rash,itching,hives,Hives,"Aloe Vera, Neem, Turmeric"
frequent headaches,light sensitivity,nausea,Migraine,"Peppermint Oil, Ginger, Ashwagandha"
bleeding gums,bad breath,receding gums,Gingivitis,"Neem, Triphala, Clove Oil"
heaviness in chest,swollen legs,difficulty breathing,Pulmonary Edema,"Punarnava, Guggulu, Arjuna"
constipation,bloating,abdominal pain,Irritable Bowel Syndrome,"Triphala, Fennel, Peppermint"
burning pain,blisters,sensitivity to touch,Shingles,"Neem, Aloe Vera, Turmeric"
unexplained fatigue,muscle weakness,joint pain,Lupus,"Ashwagandha, Shatavari, Licorice"
sudden weight gain,fluid retention,high blood pressure,Kidney Disease,"Punarnava, Gokshura, Varun"
hair thinning,brittle nails,pale skin,Iron Deficiency Anemia,"Beetroot, Spinach, Amla"
dry cough,fatigue,low-grade fever,Bronchitis,"Tulsi, Mulethi, Honey"
sharp pain in side,difficulty urinating,nausea,Kidney Stones,"Pashanbheda, Gokshura, Varun"
